Time (s),Jitter
0.212511528,-6.91419112e-06
0.21267873,3.68496817e-05
0.212821827,-9.23727098e-06
0.212875916,-9.31615537e-06
0.212951805,-6.19809662e-06
0.213161921,-1.82941782e-05
0.213316666,3.99248177e-05
0.213509172,-7.57180233e-06
0.213741767,-9.15488813e-06
0.214075628,3.79521934e-05
0.214369175,3.73718748e-05
0.214923742,-6.18212318e-06
0.215016615,-6.04825678e-06
0.215079328,-8.75177637e-06
0.215159937,-8.35169148e-06
0.215458837,3.77158329e-05
0.215499397,3.91180376e-05
0.215698615,-9.089189e-06
0.21573768,3.78103497e-05
0.216019147,-8.64532146e-06
0.21611014,-7.62997788e-06
0.216176117,-8.59771085e-06
0.216212118,-7.59041938e-06
0.216309263,-8.72604506e-06
0.216415281,3.5224183e-05
0.216859918,-7.40072822e-06
0.217260147,-8.61648279e-06
0.217312596,3.69002397e-05
0.217455693,-9.18698568e-06
0.217496174,-9.65777025e-06
0.217961556,-8.02611904e-06
0.218113557,-8.01848239e-06
0.218226311,-6.76404657e-06
0.218276336,-6.78160019e-06
0.218369577,-1.0012092e-05
0.218506394,-8.81972417e-06
0.218963937,3.66095748e-05
0.219220772,3.57437266e-05
0.219668457,-6.92971739e-06
0.219706281,-8.74545136e-06
0.219816115,-8.56935943e-06
0.219901788,-9.23264938e-06
0.220017974,3.95460782e-05
0.220148503,-8.97347224e-06
0.220189359,-6.82305357e-06
0.220854896,-8.3432122e-06
0.220975713,-7.15249624e-06
0.221113219,-8.64838331e-06
0.221378038,-6.45833052e-06
0.221605873,-8.2825753e-06
0.221670715,-1.01138672e-05
0.221844164,-8.55312067e-06
0.222020539,-1.69106091e-05
0.222057135,-8.49740444e-06
0.222243834,3.87704628e-05
0.222444028,-8.41370322e-06
0.222794964,-1.83284155e-05
0.223042814,3.67905795e-05
0.223363847,-9.23027516e-06
0.223508041,-8.41446953e-06
0.22360689,-6.25667095e-06
0.224012522,-1.08740204e-05
0.224316547,-9.88545768e-06
0.224470133,3.25005049e-05
0.224746451,-1.87973674e-05
0.224865282,-6.62003132e-06
0.225046564,-7.89275689e-06
0.225145733,-7.05426125e-06
0.225335504,-7.81507167e-06
0.225439985,-6.28929107e-06
0.225608667,-8.96106237e-06
0.225838598,3.60778387e-05
0.225962183,-6.50020328e-06
0.226270267,-9.57143823e-06
0.22632286,-8.15597622e-06
0.226500486,-8.77195797e-06
0.226540919,3.47642938e-05
0.226653224,-6.53374474e-06
0.226860203,-6.50381601e-06
0.226917939,-7.23322837e-06
0.227025525,3.71489691e-05
0.227404173,-1.34822573e-05
0.227484451,3.92056166e-05
0.22778363,-7.9631573e-06
0.228006553,-2.3861524e-05
0.228130835,-8.13415611e-06
0.228167771,-6.06466772e-06
0.228271028,-6.31495799e-06
0.228398926,-7.20444991e-06
0.228701778,-6.04699233e-06
0.228766817,-1.70700041e-05
0.229052182,-7.42491097e-06
0.229121911,-7.1464785e-06
0.229135992,3.97377861e-05
0.229250905,3.67927288e-05
0.22972795,-9.23897766e-06
0.22984696,-6.24138001e-06
0.229910265,-7.53862497e-06
0.230110125,-1.53829883e-05
0.230235237,-7.48615725e-06
0.230323574,-2.18026732e-05
0.230761387,-8.60299193e-06
0.230777916,3.58370393e-05
0.230813693,3.60289279e-05
0.231580862,3.18405748e-05
0.231987531,-6.81735996e-06
0.232036795,-9.07329481e-06
0.232607595,3.71017551e-05
0.232795965,-9.2580301e-06
0.232965927,-6.21252255e-06
0.233064041,3.96403664e-05
0.233282035,3.86141946e-05
0.233364836,-6.18034095e-06
0.233402364,-9.69977225e-06
0.233504406,-8.73206522e-06
0.233694072,-9.38778675e-06
0.233829794,-9.09976933e-06
0.234201758,-9.05180119e-06
0.234702965,-7.24542879e-06
0.234822199,3.64905057e-05
0.234951856,-6.16008593e-06
0.235342237,-7.52948112e-06
0.235564375,-6.65964445e-06
0.235709969,-6.24617494e-06
0.235801962,-8.23097374e-06
0.235893867,-6.12961568e-06
0.235937245,3.64625393e-05
0.236081278,-9.56111766e-06
0.236420466,-7.73837104e-06
0.236478539,-8.80270318e-06
0.236596516,-7.77193909e-06
0.236753502,-7.74920066e-06
0.236859442,-1.66738473e-05
0.237399174,-8.39143003e-06
0.237630369,-8.57599205e-06
0.23768741,-6.61026392e-06
0.23799023,3.15464232e-05
0.238246585,-6.79969475e-06
0.238265394,3.93582877e-05
0.238531308,-8.54633203e-06
0.238680902,-6.13304037e-06
0.238857737,3.70030604e-05
0.238955058,-8.30978212e-06
0.239109772,-1.10129725e-05
0.239503016,-6.24693312e-06
0.239597682,-7.90414262e-06
0.23979758,-6.7943106e-06
0.239838229,-8.4350764e-06
0.23995179,-8.98737513e-06
0.240142704,-9.89090689e-06
0.240397004,-8.17990954e-06
0.2404335,-6.6702085e-06
0.240866281,-8.43900184e-06
0.241573858,-9.99847072e-06
0.241622387,-8.51920797e-06
0.241699412,-6.53763928e-06
0.241837966,-7.08361068e-06
0.242115977,-8.0847359e-06
0.242405933,3.5932735e-05
0.242558655,-6.78150819e-06
0.242821906,-7.02355098e-06
0.242892619,-7.72900098e-06
0.243032189,-7.29082754e-06
0.243163982,-7.07684037e-06
0.243200871,-7.95811331e-06
0.2433306,-8.67878325e-06
0.243494594,-7.66431548e-06
0.2435561,3.48023402e-05
0.243635308,-9.39774256e-06
0.243683645,-9.72555606e-06
0.243765484,-1.754972e-05
0.243993792,-1.78392181e-05
0.244324565,3.53625035e-05
0.244479687,-7.75099398e-06
0.244551847,-8.90353084e-06
0.244592336,-7.38534546e-06
0.245037078,-6.11622727e-06
0.245206728,-8.75690545e-06
0.245508019,-9.03735544e-06
0.24552014,2.8818589e-05
0.245779839,-9.86917985e-06
0.246252757,3.61886629e-05
0.246528212,-1.12536019e-05
0.246731667,-9.69789874e-06
0.246872236,-7.25986394e-06
0.246972558,-9.57191385e-06
0.247533445,-9.44407644e-06
0.247636334,-6.32683031e-06
0.247814064,-7.04899022e-06
0.248054443,-7.41884879e-06
0.248152276,-8.2440299e-06
0.248562626,-6.58258975e-06
0.248897766,-6.71304636e-06
0.248969791,3.62330584e-05
0.249308995,3.70025534e-05
0.249728505,3.94660443e-05
0.249904042,-6.06496397e-06
0.249950267,-9.28133129e-06
0.249984739,-6.74778669e-06
0.250186558,-6.34257932e-06
0.250482723,3.5460331e-05
0.250599514,-6.32648336e-06
0.250908623,-9.43075956e-06
0.251029854,-1.86472549e-05
0.251367795,3.73777617e-05
0.251503282,-8.10344184e-06
0.251659248,-6.0664896e-06
0.252014173,-8.98715913e-06
0.252327849,3.73024395e-05
0.252663174,-1.60123271e-05
0.253039674,3.64538175e-05
0.253230369,-8.23548696e-06
0.253396711,-9.5717114e-06
0.253600141,-8.99640912e-06
0.253675228,-6.07947848e-06
0.254038457,-8.30474854e-06
0.254343222,-6.06783531e-06
0.254584676,-6.5185614e-06
0.254648571,-6.40938001e-06
0.254949216,-6.05249108e-06
0.255201062,-6.89492617e-06
0.255285645,-8.47209383e-06
0.255741048,-8.872944e-06
0.256127917,-8.73790865e-06
0.256166644,3.65047231e-05
0.256456785,3.83299113e-05
0.257048131,3.79474314e-05
0.257133715,-8.6296427e-06
0.257189426,-7.33575997e-06
0.257724021,-8.92860564e-06
0.25837915,-1.005644e-05
0.258899177,-6.0836871e-06
0.258957281,-6.18274486e-06
0.25928495,-2.18373029e-05
0.259570619,-9.50171975e-06
0.25962993,-1.18043064e-05
0.259832024,-7.89401637e-06
0.259880384,-7.24824547e-06
0.260131213,-7.0746173e-06
0.260269428,-6.28562078e-06
0.260400642,3.34717932e-05
0.260646984,-9.86437792e-06
0.260937574,-7.45046954e-06
0.261041493,-7.36463386e-06
0.261177643,-6.51147829e-06
0.261392425,-7.28971112e-06
0.261746294,-7.15605416e-06
0.261846173,-1.90208188e-05
0.2619169,-9.7413413e-06
0.26290741,-9.25404316e-06
0.263118016,-7.85585258e-06
0.263211951,-6.78650887e-06
0.263320566,3.55695057e-05
0.263416997,-6.85710351e-06
0.263928232,-9.08982104e-06
0.264096079,-6.9325215e-06
0.26415359,-9.43711984e-06
0.264260573,-1.74072878e-05
0.264577122,-5.95481464e-06
0.264641705,-9.53135661e-06
0.264778392,-8.21293524e-06
0.264858399,-7.21529829e-06
0.264911254,3.88983361e-05
0.265033014,-7.85553633e-06
0.265170156,-8.99252734e-06
0.265426906,-7.73850047e-06
0.265465185,-7.01304285e-06
0.265853637,-8.46234049e-06
0.265912557,-7.37673077e-06
0.266008428,-9.24155565e-06
0.266175898,-7.70757614e-06
0.266358616,2.55525417e-05
0.266558719,-9.5439916e-06
0.266741661,-9.48065364e-06
