Time (s),Mean Bit Life Time Per Packet
0.194250204,5.156e-05
0.194438334,7.688e-06
0.195384426,5.768e-06
0.195773591,5.1928e-05
0.195870896,5.0232e-05
0.195962185,5.052e-05
0.196126251,5.3584e-05
0.196215069,7.4e-06
0.196466767,5.2096e-05
0.196916015,5.8338583e-05
0.196965694,6.2017002e-05
0.197045846,5.2168e-05
0.197086136,4.456e-06
0.197303282,1.3599539e-05
0.197304546,5.1864e-05
0.197709655,5.2968e-05
0.197835096,5.0408e-05
0.198129244,5.3552e-05
0.198218933,5.124e-05
0.198477377,8.68e-06
0.19864513,5.0432e-05
0.198723531,5.1832e-05
0.198854685,5.1984e-05
0.199101568,5.2864e-05
0.199187066,4.36e-06
0.199741336,5.0624e-05
0.19988733,5.3616e-05
0.199963491,4.776e-06
0.200144685,5.1968e-05
0.200784333,5.3608e-05
0.200833446,5.272e-05
0.201060433,4.9704e-05
0.201396013,5.328e-05
0.201463662,5.0928e-05
0.201555983,5.0248e-05
0.20165884,5.0104e-05
0.202019845,5.0104e-05
0.202287096,5.3352e-05
0.202632796,5.2048e-05
0.202721893,5.1144e-05
0.202831743,5.0992e-05
0.202845503,1.1752e-05
0.203150715,5.096e-05
0.203289012,5.1256e-05
0.203514775,5.0016e-05
0.203611737,7.976e-06
